Date,Open,High,Low,Close,Adj Close,Volume
3/31/1985,1.458333,1.505208,1.408854,1.427083,0.565683,331833600
6/30/1985,1.445313,1.559896,1.401042,1.505208,0.603144,522912000
9/30/1985,1.453125,1.510417,1.440104,1.492188,0.604408,258590400
12/31/1985,1.760417,1.770833,1.598958,1.747396,0.714215,288134400
3/31/1986,2.1875,2.5,2.052083,2.322917,0.957008,416294400
6/30/1986,2.742188,2.804688,2.359375,2.445313,1.014374,364022400
9/30/1986,2.117188,2.453125,2.109375,2.289063,0.956324,255110400
12/31/1986,2.359375,2.773438,2.359375,2.664063,1.121004,392235200
3/31/1987,2.859375,2.9375,2.546875,2.664063,1.128003,319137600
6/30/1987,2.765625,2.992188,2.679688,2.976563,1.268484,321331200
9/30/1987,3.039063,3.109375,1.8125,2.578125,1.104969,475420800
12/31/1987,2.398438,2.53125,2.234375,2.351563,1.015155,185777600
3/31/1988,2.382813,2.507813,2.273438,2.390625,1.040122,219806400
6/30/1988,2.429688,2.429688,2.265625,2.398438,1.051559,193771200
9/30/1988,2.71875,2.78125,2.609375,2.695313,1.190221,215040000
12/31/1988,2.773438,2.929688,2.710938,2.921875,1.299334,205476800
3/31/1989,3.203125,3.398438,3.15625,3.390625,1.518157,171371200
6/30/1989,3.523438,4.25,3.5,4.25,1.914263,186704000
9/30/1989,4.1875,4.585938,3.867188,4.523438,2.048348,260318400
12/31/1989,4.828125,4.875,4.078125,4.304688,1.957785,234900800
3/31/1990,4.671875,5.078125,4.640625,4.765625,2.179467,168958400
6/30/1990,5.546875,6.046875,5.453125,5.671875,2.6057,149644000
9/30/1990,4.984375,5.765625,4.96875,5.609375,2.58928,190723200
12/31/1990,5.796875,6.140625,5.328125,6.09375,2.825217,191629600
3/31/1991,6.78125,7.09375,6.421875,6.59375,3.071136,168044800
6/30/1991,6.8125,7.53125,6.8125,7.515625,3.51589,119534400
9/30/1991,8.109375,8.390625,7.796875,8.328125,3.910397,119888800
12/31/1991,10.03125,10.421875,8.890625,9.6875,4.564611,229328000
3/31/1992,10.21875,10.546875,9.890625,10.375,4.905971,154700800
6/30/1992,10,10.84375,9.9375,10.46875,4.96624,133098800
9/30/1992,10.125,10.40625,9.125,10.15625,4.833506,167705600
12/31/1992,10.46875,11.03125,10,10.59375,5.059099,111539200
3/31/1993,10.65625,10.78125,9.375,9.84375,4.719271,209047200
6/30/1993,10.75,11.1875,10.46875,10.8125,5.205487,95362800
9/30/1993,10.5625,11.0625,10.25,10.84375,5.241195,110708000
12/31/1993,11.15625,11.1875,10.03125,10.21875,4.959059,141999200
3/31/1994,10.15625,10.46875,9.71875,10.4375,5.089425,125233200
6/30/1994,10.25,11.125,10.25,11.09375,5.434728,120258800
9/30/1994,12.15625,12.8125,12,12.59375,6.195756,133854400
12/31/1994,12.875,13.1875,12.1875,13.125,6.481538,138054400
3/31/1995,14.09375,14.71875,14.03125,14.53125,7.204547,95801200
6/30/1995,15.9375,16.71875,15.78125,16.40625,8.163978,106394400
9/30/1995,17.25,18.46875,17.09375,17.96875,8.97204,129486400
12/31/1995,18.5625,19,18.03125,18.84375,9.436478,138021600
3/31/1996,20.78125,21.125,19.5625,20.375,10.234785,146452800
6/30/1996,24.5,24.9375,22.125,23.4375,11.804535,129717000
9/30/1996,25.4375,25.4375,23.8125,25.25,12.747848,135854600
12/31/1996,26.25,30.125,25.5625,28.9375,14.645173,160477000
3/31/1997,27.875,31.875,26.375,31.8125,16.136629,151059200
6/30/1997,34,35.96875,33.875,34.5625,17.567528,131737400
9/30/1997,30.5,32.125,25,28.3125,14.4258,203189400
12/31/1997,33.34375,33.5,31.125,32.375,16.531826,124724400
3/31/1998,38.71875,40.6875,35.9375,37.9375,19.412325,131553800
6/30/1998,42.75,44.46875,39.6875,40.25,20.633707,115400200
9/30/1998,28.5625,35.3125,27.6875,33.78125,17.360348,195696600
12/31/1998,33.5,35.1875,29.78125,32.65625,16.816618,179445200
3/31/1999,30.6875,34.71875,28.8125,34.03125,17.569397,192355600
6/30/1999,31.0625,32.75,30.125,30.28125,15.671298,139700600
9/30/1999,24.125,29.6875,23.65625,29.5,15.311415,218290200
12/31/1999,29,33.4375,27.625,28.71875,14.941847,224495200
3/31/2000,23.625,26.1875,22.375,23.625,12.337753,240129800
6/30/2000,28.90625,31.5,27.625,30.65625,16.061586,160374400
9/30/2000,27.625,30.46875,26.875,30.1875,15.866415,180461800
12/31/2000,30.46875,31.09375,27.59375,29,15.285267,174487800
3/31/2001,22.58,24.225,21.184999,23.094999,12.216757,186970000
6/30/2001,22.5,23.6,21.825001,22.299999,11.842658,146439600
9/30/2001,23.25,24.745001,22.004999,23.940001,12.759579,233443200
12/31/2001,23.4,23.825001,21.75,21.875,11.702862,249580000
3/31/2002,26,28.02,25.75,27.754999,14.910609,194723800
6/30/2002,28.125,28.75,21.799999,24.969999,13.464307,355021000
9/30/2002,24.200001,26.549999,22.285,23.24,12.580825,317116400
12/31/2002,22.075001,23.004999,19.575001,20.23,11.000153,249229000
3/31/2003,20.25,21.424999,19.5,20.200001,11.048383,238453600
6/30/2003,23.125,23.32,21.139999,22.485001,12.356497,286536800
9/30/2003,21.5,23.200001,21.5,23.200001,12.812127,217157200
12/31/2003,25.4,25.495001,24.325001,24.620001,13.660852,188973000
3/31/2004,25.24,26.75,24.889999,25.285,14.100482,235590000
6/30/2004,25.254999,25.695,21.4,21.93,12.28904,285865800
9/30/2004,20.24,20.57,19.15,20.33,11.45912,284754200
12/31/2004,20.950001,21,20.275,20.745001,11.766837,236828200
3/31/2005,20.915001,21.75,20.370001,21.719999,12.400489,277122600
6/30/2005,20.98,22.305,20.695,21.879999,12.571919,241584800
9/30/2005,21.605,21.799999,20.639999,21.389999,12.368645,270077400
12/31/2005,20.395,20.995001,19.68,20.690001,12.042693,283895000
3/31/2006,21.049999,21.120001,20.43,20.98,12.300645,219255800
6/30/2006,21.6,22.395,21.184999,22.25,13.139299,251795800
9/30/2006,22.450001,23.75,21.860001,23.360001,13.890952,386309000
12/31/2006,24.18,24.5,23.745001,23.940001,14.331016,248080400
3/31/2007,24.1,26.174999,24.025,26.094999,15.732602,414148400
6/30/2007,26.325001,27.245001,25.895,26.055,15.81362,419410800
9/30/2007,28.805,31.075001,28.459999,30.879999,18.85726,368842400
12/31/2007,30.725,32.794998,28.245001,29.5,18.112333,549924400
3/31/2008,30.504999,30.92,29.184999,29.434999,18.188641,395178800
6/30/2008,25.959999,26.445,24.719999,25.75,16.016499,619642400
9/30/2008,26.309999,27.5,20.145,22.030001,13.800115,928837400
12/31/2008,22.700001,23,20.780001,21.360001,13.494187,460252400
3/31/2009,21.879999,22.915001,21,21.525,13.742305,461491600
6/30/2009,24.24,25.514999,24.01,24.92,16.045696,432536800
9/30/2009,26.700001,27.75,26.355,26.655001,17.303091,419925800
12/31/2009,28.58,28.715,26.85,27.125,17.733313,385386200
3/31/2010,27.68,27.780001,26.280001,26.725,17.614805,443832000
6/30/2010,25.15,27.655001,24.735001,27.555,18.31551,373304800
9/30/2010,29.52,30.875,29.26,30.66,20.533768,387123000
12/31/2010,32.939999,32.939999,30.945,31.424999,21.191544,366736200
3/31/2011,33.445,34.235001,32.904999,33.73,22.910858,303736200
6/30/2011,33.509998,34.91,33.294998,34.005001,23.264864,325485600
9/30/2011,33.294998,34.544998,31.67,34.16,23.530317,406481800
12/31/2011,35.075001,35.355,33.285,33.764999,23.427187,300231600
3/31/2012,36.915001,38.91,35.91,38.16,26.670477,292370000
6/30/2012,39.049999,40.665001,38.049999,40.400002,28.428829,289020200
9/30/2012,38.16,38.830002,36.540001,37.18,26.340805,293829600
12/31/2012,36.990002,37.869999,36.52,37.240002,26.564339,302757300
3/31/2013,40.389999,42.959999,39.77,42.330002,30.413755,317772200
6/30/2013,40.5,41.25,39.5,40.080002,28.996195,260921100
9/30/2013,38,39.959999,36.830002,39.57,28.835428,378979000
12/31/2013,41.119999,41.23,37.720001,37.82,27.753237,289400900
3/31/2014,38.529999,41.279999,38.040001,40.790001,30.169849,382724700
6/30/2014,42.389999,42.57,39.25,39.290001,29.278954,282905200
9/30/2014,42.549999,44.869999,40.099998,41.880001,31.436384,529864600
12/31/2014,42.259998,43.830002,41.110001,41.169998,31.117046,293092200
3/31/2015,40.790001,41.610001,40.099998,40.560001,30.910381,284020300
6/30/2015,39.380001,41.599998,39.220001,41.080002,31.564949,268100000
9/30/2015,40.220001,43.849998,39.360001,42.349998,32.822697,366307300
12/31/2015,42.34,43.259998,40.75,42.919998,33.519585,317920800
3/31/2016,46.139999,47.130001,42.869999,44.799999,35.26067,317337800
6/30/2016,45.330002,45.939999,43.099998,43.630001,34.603149,235959400
9/30/2016,42.310001,43.029999,41.400002,42.400002,33.902363,264839100
12/31/2016,41.5,42.25,40.689999,41.57,33.519714,240343500
3/31/2017,42.580002,43.790001,42.27,43.150002,35.10083,232465400
6/30/2017,45.110001,46.43,44.150002,45.84,37.595921,195369200
9/30/2017,45.049999,46.790001,44.75,45.98,38.010807,192361800
12/31/2017,45.91,48.619999,45.34,47.59,39.664307,256417300
3/31/2018,43.439999,45.029999,41.91,43.209999,36.331665,256838800
6/30/2018,43.779999,46.669998,43.580002,46.630001,39.556442,207676200
9/30/2018,46.169998,48.080002,44.25,47.880001,40.962311,326355300
12/31/2018,46.939999,48.779999,46.34,48.130001,41.501797,290752700
3/31/2019,46.990002,49.18,46.040001,49.060001,42.673019,238015200
6/30/2019,51.07,54.82,50.779999,52.630001,46.135609,257685900
9/30/2019,54.529999,55.389999,52.82,54.43,48.062347,245853900
12/31/2019,55.32,59.080002,54.09,58.400002,51.953102,286856700
3/31/2020,42.48,49.73,41.799999,45.889999,41.182129,395209600
6/30/2020,44.93,49.279999,43.830002,47.240002,42.778782,369294100
9/30/2020,49.439999,51.529999,47.299999,48.060001,43.873634,292193800
12/31/2020,54.27,54.630001,48.110001,48.150002,44.300453,457208200
3/31/2021,52.959999,54.869999,52.290001,53.98,50.077721,270807700
6/30/2021,54.34,57.560001,53.549999,57.029999,53.305889,293385300
9/30/2021,52.779999,56.470001,52.400002,56.369999,53.086636,331812000
12/31/2021,58.82,61.450001,58.380001,61.009998,57.901939,407891700
3/31/2022,62.330002,67.199997,61.720001,64.610001,61.787926,319591200
6/30/2022,63.119999,64.449997,60.790001,64.169998,61.810516,275802300
9/30/2022,56.360001,60.91,54.02,59.849998,58.069668,325950900
12/31/2022,63.560001,63.720001,59.400002,61.32,59.9179,260737100
3/31/2023,62.299999,64.989998,61.860001,64.150002,63.164001,213353000
6/30/2023,60.200001,63.27,58.84,61.93,61.442528,256289400
9/30/2023,55.91,56.720001,51.549999,56.490002,56.490002,387919000
